name,category,instructions,glass,glass-size,ingredients,measurements
Cognac Highball,Brandy,"Pour Cognac into ice-filled highball glass and fill with ginger ale or soda water. Add lemon twist, if desired, and stir.",Highball Glass,7 to 10 ounces," Cognac,  Ginger ale or soda water,  Lemon twist","2 oz  Cognac,   Ginger ale or soda water,   Lemon twist (optional)"
Prince's Smile Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Old Mr. Boston Apricot Flavored Brandy,  Apple Brandy,  Old Mr. Boston Dry Gin,  Lemon Juice","1/2 oz  Old Mr. Boston Apricot Flavored Brandy, 1/2 oz  Apple Brandy, 1 oz  Old Mr. Boston Dry Gin, 1/4 oz  Lemon Juice"
Viva Villa,Tequila,Rim old-fashioned glass with lime and salt. Fill with ice. Shake remaining ingredients with ice and strain into glass.,Old-Fashioned Glass,6 to 8 ounces," Lime wedge, coarse salt,  Blanco tequila,  Lemon juice,  Simple Syrup","For glass  Lime wedge, coarse salt, 1 1/2 oz  Blanco tequila, 1 oz  Lemon juice, 1/2 oz  Simple Syrup"
Praire Oyster Cocktail,Cordials and Liqueurs,Shake with ice and strain into old-fashioned glass over two ice cubes. Place an egg yolk on top without breaking it. Add dash of cayenne pepper.,Old-Fashioned Glass,6 to 8 ounces," Old Mr. Boston Five Star Brandy,  Worcestershire Sauce,  Tomato Catsup,  Vinegar,  Pepper","1 oz  Old Mr. Boston Five Star Brandy, 1 oz  Worcestershire Sauce, 1 oz  Tomato Catsup, 1 oz  Vinegar, 1 oz  Pepper"
Praire Chicken,Cocktail Classics,Open egg without breaking the yolk and put in wine glass. Pour gin on top. Add pepper and salt.,White-Wine Glass,10 to 18 ounces," Old Mr. Boston Dry Gin,  Whole Egg,  Pepper,Salt","1 oz  Old Mr. Boston Dry Gin, 1 oz  Whole Egg,   Pepper and Salt"
Venial Sin,Tequila,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces," Blanco tequila,  Mezcal,  Yellow Chartreuse,  Elderflower liqueur,  Maraschino liqueur","1 1/2 oz  Blanco tequila, 1/2 oz  Mezcal, 1/2 oz  Yellow Chartreuse, 1/4 oz  Elderflower liqueur, 1/4 oz  Maraschino liqueur"
Vagabundo,Tequila,Shake ingredients with ice. Strain into ice-filled hurricane glass. Garnish with lime wheel.,Hurricane Glass,14 to 20 ounces," Reposado blanco tequila,  Pineapple Juice,   celery juice,  Lemon juice,  Lime wheel","2 oz  Reposado blanco tequila, 1 1/2 oz  Pineapple Juice, 1 1/2 oz   celery juice, 1/2 oz  Lemon juice,   Lime wheel"
The 21st Century,Tequila,Swirl absinthe in chilled cocktail glass to coat inside; discard excess absinthe. Shake remaining ingredients with ice and strain into glass.,Cocktail Glass,6 or more ounces,"Absinthe,  Absinthe,  Blanco tequila,  Lemon juice,  White creme de cacao","splash Absinthe, 1 oz  Absinthe, 1 1/2 oz  Blanco tequila, 3/4 oz  Lemon juice, 3/4 oz  White creme de cacao"
Pollyanna Cocktail,Cocktail Classics,"Muddle oranges and pineapple with gin, vermouth, and grenadine.  Shake with ice and strain into cocktail glass.",Cocktail Glass,6 or more ounces,"orange peel, pineapple,  Old Mr. Boston Dry Gin,  sweet vermouth","3 slices orange peel, 3 slices pineapple, 2 oz  Old Mr. Boston Dry Gin, 1/2 oz  sweet vermouth, 1/2 tsp grenadine "
Toreador,Tequila,"Shake with ice. Strain into chilled cocktail glass. Top with whipped cream, sprinkle with cocoa. THE 21ST CENTURY 1 splash",Cocktail Glass,6 or more ounces," Blanco tequila,  Dark creme de cacao,  half-and-half","1 1/2 oz  Blanco tequila, 1/2 oz  Dark creme de cacao, 1/2 oz  half-and-half,  Whipped cream, cocoa "
Pink Squirrel Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Mr. Boston Creme de Noyaux ,  Old Mr. Boston White Creme de Cacao,  Light Sweet Cream","1 oz  Mr. Boston Creme de Noyaux , 1 oz  Old Mr. Boston White Creme de Cacao, 1 oz  Light Sweet Cream"
Pink Lady Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Egg White,  Grenadine,  Sweet Cream,  Old Mr. Boston Dry Gin","1 oz  Egg White, 1 oz  Grenadine, 1 oz  Sweet Cream, 1 1/2 oz  Old Mr. Boston Dry Gin"
Tijuana Taxi,Tequila,Pour first three ingredients into ice-filled large highball glass. Fill with lemon-lime soda. Garnish with orange and cherry.,Highball Glass,7 to 10 ounces," Gold tequila,  Blue curacao,  Tropical fruit schnapps,  Orange wheel, maraschino cherry","2 oz  Gold tequila, 1 oz  Blue curacao, 1 oz  Tropical fruit schnapps,  Lemon-lime soda ,   Orange wheel, maraschino cherry"
Tia Juanathan,Tequila,Shake first four ingredients with ice and strain into ice-filled highball glass. Top with soda water. Garnish with orange.,Highball Glass,7 to 10 ounces," Blanco tequila,  Lemon juice,  Aperol,  Yellow Chartreuse,  Soda water,  Orange half-wheel","1 1/2 oz  Blanco tequila, 1/2 oz  Lemon juice, 1/2 oz  Aperol, 1/2 oz  Yellow Chartreuse,   Soda water,   Orange half-wheel"
Phoebe Snow Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Dubonnet,  Old Mr. Boston Five Star Brandy,  Absinthe Substitute","1 1/2 oz  Dubonnet, 1 1/2 oz  Old Mr. Boston Five Star Brandy, 1/2 oz  Absinthe Substitute"
Tequonic,Tequila,"Pour tequila into ice-filled old-fashioned glass. Add juice, fill with tonic water, and stir. Garnish with citrus wedge.",Old-Fashioned Glass,6 to 8 ounces," Blanco tequila,   lemon or lime juice,  Tonic water","2 oz  Blanco tequila, 1/4 oz   lemon or lime juice,   Tonic water,  Lemon or lime wedge "
Tequini,Tequila,Stir with ice and strain into chilled cocktail glass. Add lemon twist.,Cocktail Glass,6 or more ounces," Blanco tequila,  Dry Vermouth,  Angostura bitters","1 1/2 oz  Blanco tequila, 1/2 oz  Dry Vermouth, 1 oz  Angostura bitters,  Lemon twist "
Passion Daiquiri Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Old Mr. Boston Rum,  Lime Juice,  Powdered Sugar,  Passion Fruit Juice","1 1/2 oz  Old Mr. Boston Rum, 1 oz  Lime Juice, 1 oz  Powdered Sugar, 1 oz  Passion Fruit Juice"
Parisian Blonde Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Sweet Cream,  Old Mr. Boston Triple Sec,  Jamaica Rum","3/4 oz  Sweet Cream, 3/4 oz  Old Mr. Boston Triple Sec, 3/4 oz  Jamaica Rum"
Tequila Sunrise,Tequila,"Pour tequila and orange juice into ice-filled highball glass. Stir and add ice. Slowly pour in grenadine and allow to settle at glass bottom. Before drinking, stir to create the ""sunrise""",Highball Glass,7 to 10 ounces," Blanco tequila,  Orange juice,  Grenadine","2 oz  Blanco tequila, 4 oz  Orange juice, 3/4 oz  Grenadine"
Coffee Grasshopper,Brandy,Shake with ice and strain into ice-filled old-fashioned glass.,Old-Fashioned Glass,6 to 8 ounces," Coffee-flavored brandy,  White creme de menthe,  half-and-half","3/4 oz  Coffee-flavored brandy, 3/4 oz  White creme de menthe, 3/4 oz  half-and-half"
Tequila Straight,Tequila,"Put salt between thumb and index finger on back of one hand. Hold shot glass of tequila in same hand and lime wedge in other hand. Taste the salt, drink the tequila, and then suck the lime.",Shot Glass,1 _ to 2 ounces," Coarse salt,  Blanco tequila,  Lime wedge","1 oz  Coarse salt, 1 1/2 oz  Blanco tequila, 1 oz  Lime wedge"
Tequila Sour,Tequila,Shake with ice and strain into chilled sour glass. Garnish with lemon and cherry.,Cordial or Pony Glass,2 to 3 ounces," Blanco tequila,  Lemon juice,  Simple Syrup","2 oz  Blanco tequila, 3/4 oz  Lemon juice, 3/4 oz  Simple Syrup,  Lemon half-wheel, maraschino cherry "
Tequila Smash,Tequila,Muddle blueberries and cherries in mixing glass. Add remaining ingredients and shake. Double-strain into ice-filled old-fashioned glass. Garnish with skewered fruit.,Old-Fashioned Glass,6 to 8 ounces," Blueberries,  Bing cherries,  Blanco tequila,  Maraschino liqueur,  Lemon juice,  Lime wheel, blueberry,Bing cherry","4 oz  Blueberries, 4 oz  Bing cherries, 2 oz  Blanco tequila, 1/2 oz  Maraschino liqueur, 1/2 oz  Lemon juice,   Lime wheel skewered with blueberry and Bing cherry"
Tequila Pink,Tequila,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces," Blanco tequila,  Dry Vermouth,  Grenadine","1 1/2 oz  Blanco tequila, 1 oz  Dry Vermouth, 1/4 oz  Grenadine"
Tequila Old-Fashioned,Tequila,"Pour tequila, syrup, and bitters in ice-filled old-fashioned glass and stir. Add soda. Add lemon twist.",Old-Fashioned Glass,6 to 8 ounces," Blanco tequila,  Simple Syrup,  Angostura Bitters,  Soda water,  Lemon twist","1 1/2 oz  Blanco tequila, 1 oz  Simple Syrup, 1 oz  Angostura Bitters, 1 oz  Soda water,   Lemon twist"
Rob Roy Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Sweet Vermouth,  Desmond & Duff Scotch Whisky","3/4 oz  Sweet Vermouth, 1 1/2 oz  Desmond & Duff Scotch Whisky"
Tequila Mockingbird,Tequila,Rim one half of a chilled cocktail glass with lime and salt. Muddle ginger in mixing glass. Add remaining ingredients with ice and shake. Strain into glass. Garnish with lime wheel.,Cocktail Glass,6 or more ounces," Lime wedge, coarse salt,  Minced ginger,  Blanco tequila,  Agave nectar,  Lemon juice,  Lime wheel","For glass  Lime wedge, coarse salt, 1/4 oz  Minced ginger, 1 3/4 oz  Blanco tequila, 1 1/2 oz  Agave nectar, 1 oz  Lemon juice,   Lime wheel"
Tequila Matador,Tequila,Shake with ice and strain into chilled champagne flute.,Champagne Flute,6 to 8 ounces," Blanco tequila,  Pineapple Juice,  Lemon juice","1 1/2 oz  Blanco tequila, 2 oz  Pineapple Juice, 1/2 oz  Lemon juice"
Tequila Manhattan,Tequila,Shake with ice and strain into ice-filled old-fashioned glass. Add cherry.,Old-Fashioned Glass,6 to 8 ounces," Blanco tequila,  Sweet Vermouth,  Angostura Bitters","2 oz  Blanco tequila, 1 oz  Sweet Vermouth, 1 oz  Angostura Bitters,  Maraschino cherry "
T.N.T. Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Old Thompson Blended Whiskey,  Absinthe Substitute","1 1/2 oz  Old Thompson Blended Whiskey, 1 1/2 oz  Absinthe Substitute"
Thunderclap Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Old Mr. Boston Dry Gin,  Old Thompson Blended Whiskey,  Old Mr. Boston Five Star Brandy","3/4 oz  Old Mr. Boston Dry Gin, 3/4 oz  Old Thompson Blended Whiskey, 3/4 oz  Old Mr. Boston Five Star Brandy"
Thunder Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Powdered Sugar,  Egg Yolk,  Old Mr. Boston Five Star Brandy,  Cayenne Pepper","1 oz  Powdered Sugar, 1 oz  Egg Yolk, 1 1/2 oz  Old Mr. Boston Five Star Brandy, 1 oz  Cayenne Pepper"
Tequila Collins,Tequila,"Shake first three ingredients with ice and strain into chilled Collins glass. Add several ice cubes, fill with soda water, and stir. Garnish with lemon, orange, and cherry. Serve with straw.",Collins Glass,14 to 16 ounces," Blanco tequila,  Lemon juice,  Simple Syrup, lemon wheel, orange wheel, maraschino cherry","2 oz  Blanco tequila, 1/2 oz  Lemon juice, 1/2 oz  Simple Syrup,  Soda water ,  lemon wheel, orange wheel, maraschino cherry"
White Lady Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Egg White,  Powdered Sugar,  Sweet Cream,  Old Mr. Boston Dry Gin","1 oz  Egg White, 1 oz  Powdered Sugar, 1 oz  Sweet Cream, 1 1/2 oz  Old Mr. Boston Dry Gin"
Tequila Canyon,Tequila,Pour into Collins glass and stir. Add ice. Garnish with lime. Serve with straw.,Collins Glass,14 to 16 ounces," Blanco tequila,  Triple Sec,  Cranberry Juice,  Pineapple Juice,  Orange juice,  Lime wheel","1 1/2 oz  Blanco tequila, 1/4 oz  Triple Sec, 1 oz  Cranberry Juice, 1 oz  Pineapple Juice, 1 oz  Orange juice,   Lime wheel"
Chicago Cocktail,Brandy,Rim chilled old-fashioned glass with lemon and sugar. Stir remaining ingredients with ice and strain into glass.,Old-Fashioned Glass,6 to 8 ounces," Lemon wedge, superfine sugar,  Brandy,  Lemon juice,  Orange curacao,  Maraschino liqueur","For glass  Lemon wedge, superfine sugar, 1 oz  Brandy, 1/2 oz  Lemon juice, 1/4 oz  Orange curacao, 1/4 oz  Maraschino liqueur"
Sunday Confession,Tequila,Pour the first three ingredients into Collins glass and stir briefly. Add ice and top with ginger beer. Add lemon.,Collins Glass,14 to 16 ounces," Blanco tequila,  Limoncello,  Lemon juice,  Lemon wedge","1 oz  Blanco tequila, 1 oz  Limoncello, 1/2 oz  Lemon juice,  Ginger beer ,   Lemon wedge"
Strawberry Margarita,Tequila,"If desired, rim chilled cocktail glass with lime and sugar or salt. Muddle strawberries with schnapps in mixing glass. Add remaining ingredients and shake with ice. Strain through fine wire sieve into glass. Add strawberry.",Cocktail Glass,6 or more ounces," Lime wedge, superfine sugar,   strawberries,  Strawberry schnapps,  Blanco tequila,  Triple Sec,  Lemon juice, whole strawberry","For glass  Lime wedge, superfine sugar or coarse salt (optional), 3 oz   strawberries, cut in half, 3/4 oz  Strawberry schnapps, 1 1/2 oz  Blanco tequila, 3/4 oz  Triple Sec, 3/4 oz  Lemon juice, whole strawberry"
Western Rose Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Old Mr. Boston Apricot Flavored Brandy,  Old Mr. Boston Dry Gin,  Dry Vermouth,  Lemon Juice","1/2 oz  Old Mr. Boston Apricot Flavored Brandy, 1 oz  Old Mr. Boston Dry Gin, 1/2 oz  Dry Vermouth, 1/4 oz  Lemon Juice"
Widow's Kiss Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Old Mr. Boston Five Star Brandy,  Yellow Chartreuse,  Benedictine,  Peychaud Bitters","1 oz  Old Mr. Boston Five Star Brandy, 1/2 oz  Yellow Chartreuse, 1/2 oz  Benedictine, 1 oz  Peychaud Bitters"
Spice Of Life,Tequila,"Muddle 3 cucumber slices, mint leaves, and syrup in mixing glass. Add tequila and lime juice with ice and shake. Double-strain into ice-filled old-fashioned glass. Garnish with cucumber slice and mint sprig.",Old-Fashioned Glass,6 to 8 ounces," Cucumber,  mint leaves,  Simple Syrup,  Jalapeno-Infused Tequila,  Lemon juice,  Cucumber slice,  mint sprig","3 oz  Cucumber, 12  mint leaves, 3/4 oz  Simple Syrup, 2 oz  Jalapeno-Infused Tequila, 3/4 oz  Lemon juice,   Cucumber slice,  mint sprig"
Widow's Dream Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass. Float one teaspoon of sweet cream on top.,Cocktail Glass,6 or more ounces," Benedictine,  Whole Egg","1 1/2 oz  Benedictine, 1 oz  Whole Egg"
Vodka Gypsy Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Old Mr. Boston Vodka,  Benedictine,  Angostura Bitters","1 1/2 oz  Old Mr. Boston Vodka, 3/4 oz  Benedictine, 1 oz  Angostura Bitters"
South Of The Border,Tequila,Shake with ice and strain into chilled sour glass. Garnish with lime.,Cordial or Pony Glass,2 to 3 ounces," Blanco tequila,  Coffee-flavored brandy,  Lemon juice","1 oz  Blanco tequila, 3/4 oz  Coffee-flavored brandy, 1/2 oz  Lemon juice,  Lime wheel "
Vodka Grasshopper Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Old Mr. Boston Vodka,  Old Mr. Boston Green Creme de Menthe,  Old Mr. Boston White Creme de Cacao","3/4 oz  Old Mr. Boston Vodka, 3/4 oz  Old Mr. Boston Green Creme de Menthe, 3/4 oz  Old Mr. Boston White Creme de Cacao"
Violet Fizz Juice,Cocktail Classics,Shake with ice and strain into highball glass with two ice cubes. Fill with carbonated water and stir.,Highball Glass,7 to 10 ounces," Lemon Juice,  Powdered Sugar,  Old Mr. Boston Dry Gin,  Creme Yvette","1/2 oz  Lemon Juice, 1/2 oz  Powdered Sugar, 1 1/2 oz  Old Mr. Boston Dry Gin, 1 oz  Creme Yvette"
Smoked Margarita,Tequila,Pour Scotch into old-fashioned glass and swirl to coat. Add ice. Shake remaining ingredients with ice and strain into glass. Add lime wedge.,Old-Fashioned Glass,6 to 8 ounces," Smoky Scotch whisky, Reposado tequila,  Triple Sec,  Lemon juice,   Lime wedge","1/2 oz  Smoky Scotch whisky, such as Islay or Skye, 1 oz  Reposado tequila, 1 oz  Triple Sec, 1/2 oz  Lemon juice, 1/2 oz  Lemon juice,   Lime wedge"
Sloe Tequila,Shooters,Combine ingredients with 1/2 cup crushed ice in blender on low speed. Pour into old-fashioned glass. Add cucumber twist.,Old-Fashioned Glass,6 to 8 ounces," Blanco tequila,  Sloe gin,  Lemon juice","1 oz  Blanco tequila, 1/2 oz  Sloe gin, 1/2 oz  Lemon juice,  Cucumber peel twist "
Queen Elizabeth Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Old Mr. Boston Dry Gin,  Dry Vermouth,  Benedictine","1 1/2 oz  Old Mr. Boston Dry Gin, 1/2 oz  Dry Vermouth, 1 1/2 oz  Benedictine"
Silk Stockings,Tequila,Shake ingredients with ice and strain into chilled cocktail glass. Top with cinnamon.,Cocktail Glass,6 or more ounces," Blanco tequila,  White creme de cacao,  Heavy cream,  Grenadine,  Ground cinnamon","1 1/2 oz  Blanco tequila, 1 oz  White creme de cacao, 1 1/2 oz  Heavy cream, 1 oz  Grenadine,   Ground cinnamon"
Orchid Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Old Mr. Boston Dry Gin,  Egg White,  Creme Yvette","2 oz  Old Mr. Boston Dry Gin, 1 oz  Egg White, 1 oz  Creme Yvette"
Orange Milk Fizz,Cocktail Classics,Shake with ice and strain into highball glass over two cubes of ice. Fill with carbonated water and stir.,Highball Glass,7 to 10 ounces," Lemon Juice,  Powdered Sugar,  Old Mr. Boston Orange Flavored Gin ,  Milk","1/2 oz  Lemon Juice, 1 oz  Powdered Sugar, 2 oz  Old Mr. Boston Orange Flavored Gin , 2 oz  Milk"
Orange Gin Rickey,Cocktail Classics,Pour into highball glass over ice cubes and fill with carbonated water. Add wedge of lime. Stir.,Highball Glass,7 to 10 ounces," Lime Juice,  Old Mr. Boston Orange Flavored Gin ","1/2 oz  Lime Juice, 2 oz  Old Mr. Boston Orange Flavored Gin "
Orange Gin Highball,Cocktail Classics,"Pour into highball glass over ice cubes and fill with ginger ale or carbonated water. Add twist of lemon peel, if desired, and stir.",Highball Glass,7 to 10 ounces," Old Mr. Boston Orange Flavored Gin , ginger ale, lemon twist","2 oz  Old Mr. Boston Orange Flavored Gin ,  ginger ale,  lemon twist"
Orange Gin Fizz,Cocktail Classics,Shake with ice and strain into highball glass with two ice cubes. Fill with carbonated water and stir.,Highball Glass,7 to 10 ounces," Lemon Juice,  Powdered Sugar,  Old Mr. Boston Orange Flavored Gin ","1/2 oz  Lemon Juice, 1 oz  Powdered Sugar, 2 oz  Old Mr. Boston Orange Flavored Gin "
Orange Gin Collins,Cocktail Classics,"Shake with ice and strain into collins glass. Add several cubes of ice, fill with carbonated water and stir. Decorate with slices of lemon and orange and a cherry. Serve with straws.",Collins Glass,14 to 16 ounces," Lemon Juice,  Old Mr. Boston Orange Flavored Gin ","1/2 oz  Lemon Juice, 2 oz  Old Mr. Boston Orange Flavored Gin "
Sidewinder,Tequila,Fill Collins glass 1/2 full with crushed ice. Add all ingredients. Swizzle with barspoon until glass is frosted. Fill to brim with additional ice. Garnish with mint.,Collins Glass,14 to 16 ounces," Reposado tequila,  Campari,  Vanilla syrup, Lemon juice,  Mezcal,  Ginger beer","1 1/2 oz  Reposado tequila, 1/2 oz  Campari, 1/2 oz  Vanilla syrup, preferably B.A. Reynold's, 1/2 oz  Lemon juice, 1/4 oz  Mezcal, 2 oz  Ginger beer, 1 oz"
Orange Blossom Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Old Mr. Boston Dry Gin,  Orange Juice,  Powdered Sugar","1 oz  Old Mr. Boston Dry Gin, 1 oz  Orange Juice, 1/4 oz  Powdered Sugar"
Shady Lady,Tequila,Combine all ingredients in ice-filled highball glass and stir. Garnish with lime and melon or cherry.,Highball Glass,7 to 10 ounces," Blanco tequila,  Melon liqueur,   grapefruit juice,   grapefruit juice,  Lime wedge, honeydew melon wedge or maraschino cherry","1 oz  Blanco tequila, 1 oz  Melon liqueur, 4 oz   grapefruit juice, 4 oz   grapefruit juice,   Lime wedge; honeydew melon wedge or maraschino cherry"
Cherry Blossom,Brandy,Rim chilled cocktail glass with brandy and sugar. Shake ingredients with ice and strain into glass. Add cherry.,Cocktail Glass,6 or more ounces," Cherry-flavored brandy, superfine sugar,  Brandy,  cherry-flavored brandy,  Lemon juice,  Triple Sec,  Grenadine, maraschino cherry","  Cherry-flavored brandy, superfine sugar, 1 oz  Brandy, 1/2 oz  cherry-flavored brandy, 1/2 oz  Lemon juice, 1/4 oz  Triple Sec, 1/4 oz  Grenadine, maraschino cherry"
The Sfozando,Tequila,Stir with ice and strain into cocktail glass. Add orange twist.,Cocktail Glass,6 or more ounces," Mezcal,  Rye Whiskey,  Dry Vermouth,  Benedictine,  Chocolate bitters,  Orange twist","1 oz  Mezcal, 3/4 oz  Rye Whiskey, 1/2 oz  Dry Vermouth, 1/2 oz  Benedictine, 1 oz  Chocolate bitters,   Orange twist"
Napoleon Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Old Mr. Boston Dry Gin,  Curacao,  Dubonnet","2 oz  Old Mr. Boston Dry Gin, 1/2 oz  Curacao, 1/2 oz  Dubonnet"
Moulin Rouge Cocktail,Cocktail Classics,Stir with ice and strain cocktail glass.,Cocktail Glass,6 or more ounces," Old Mr. Boston Sloe Gin,  Sweet Vermouth,  Bitters","1 1/2 oz  Old Mr. Boston Sloe Gin, 3/4 oz  Sweet Vermouth, 1 oz  Bitters"
Sea Of Cortez,Tequila,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces," Blanco tequila,  Lemon juice,  Creme de Cassis,  Orange curacao","1 1/2 oz  Blanco tequila, 1 oz  Lemon juice, 3/4 oz  Creme de Cassis, 1/4 oz  Orange curacao"
Satin Sheets,Tequila,Shake with ice and strain into chilled cocktail glass. Garnish with lime.,Cocktail Glass,6 or more ounces," Blanco tequila,  Falernum,  Simple Syrup,  Lemon juice,  Lime wheel","1 1/2 oz  Blanco tequila, 1/2 oz  Falernum, 1/2 oz  Simple Syrup, 3/4 oz  Lemon juice,   Lime wheel"
Santana Sling,Tequila,Pour first four ingredients into ice-filled Collins glass and stir. Add ginger beer and stir again.,Collins Glass,14 to 16 ounces," Reposado tequila,  Cherry Heering,  Batavia arrack or light rum,  Lemon juice,  Ginger beer","1 1/2 oz  Reposado tequila, 1/2 oz  Cherry Heering, 1/4 oz  Batavia arrack or light rum, 1/2 oz  Lemon juice, 3 oz  Ginger beer"
Rosita,Tequila,Stir with ice. Strain into ice-filled old-fashioned glass. Add lemon twist.,Old-Fashioned Glass,6 to 8 ounces," Blanco tequila,  Sweet Vermouth,  Dry Vermouth,  Campari,  Angostura Bitters,  Lemon twist","1 1/2 oz  Blanco tequila, 1/2 oz  Sweet Vermouth, 1/2 oz  Dry Vermouth, 1/2 oz  Campari, 1 oz  Angostura Bitters,   Lemon twist"
Mariposa Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Old Mr. Boston Rum,  Old Mr. Boston Five Star Brandy,  Lemon Juice,  Orange Juice,  Grenadine","1 oz  Old Mr. Boston Rum, 1/2 oz  Old Mr. Boston Five Star Brandy, 1 oz  Lemon Juice, 1 oz  Orange Juice, 1 oz  Grenadine"
Margarita Cocktail,Cocktail Classics,"Rub rim of cocktail glass with rind of lemon or lime, dip rim in salt. Shake ingredients with ice and strain into the salt-rimmed glass. ",Cocktail Glass,6 or more ounces," Old Mr. Boston Tequila,  Old Mr. Boston Triple Sec,  Lemon or Lime Juice","1 1/2 oz  Old Mr. Boston Tequila, 1/2 oz  Old Mr. Boston Triple Sec, 1 oz  Lemon or Lime Juice"
The Refuge,Tequila,Shake with ice. Strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces," Blanco tequila,  Aperol,  Lemon juice,  Grapefruit Juice,  Agave nectar","1 1/2 oz  Blanco tequila, 1/2 oz  Aperol, 1/4 oz  Lemon juice, 1/4 oz  Grapefruit Juice, 1/4 oz  Agave nectar"
Manhattan Cocktail (dry),Cocktail Classics,Stir with ice and strain into cocktail glass. Serve with an olive.,Cocktail Glass,6 or more ounces," Dry Vermouth,  Old Thompson Blended Whiskey","3/4 oz  Dry Vermouth, 1 1/2 oz  Old Thompson Blended Whiskey"
Mamie Taylor,Cocktail Classics,Fill collins glass with ginger ale and ice. Stir.,Collins Glass,14 to 16 ounces," Lime Juice,  Desmond & Duff Scotch Whisky","1/2 oz  Lime Juice, 2 oz  Desmond & Duff Scotch Whisky"
Quetzalcoatl,Tequila,Shake with ice and strain into cocktail glass. Add grapefruit twist.,Cocktail Glass,6 or more ounces," Blanco tequila,  Mezcal,  Creme de peche,  Guava puree,  Grapefruit Juice,  Grapefruit twist","1 oz  Blanco tequila, 3/4 oz  Mezcal, 1/2 oz  Creme de peche, 1/2 oz  Guava puree, 1/2 oz  Grapefruit Juice,   Grapefruit twist"
Zero Mint,Cocktail Classics,For each serving chill 2 oz. Old Mr. Boston Creme de Menthe (Green) mixed with 1 oz. water in freezer compartment of refrigerator for 2 hours or longer if desired. (Does not have to be frozen solid.) Serve in cocktail glasses.,Cocktail Glass,6 or more ounces," Mr. Boston Creme de menthe, water"," 2 oz  Mr. Boston Creme de menthe,  water"
Purple Pancho,Tequila,Rim chilled cocktail or margarita glass with lime wedge and sugar. Shake remaining ingredients with ice and pour with ice into glass. Garnish with lime wheel.,Cocktail Glass,6 or more ounces," Lime wedge, superfine sugar,  Blanco tequila,  Blue curacao,  Sloe gin,  Lemon juice Lemon juice, simple syrup, 1 lime wheel","For glass  Lime wedge, superfine sugar, 1 oz  Blanco tequila, 1/2 oz  Blue curacao, 1/2 oz  Sloe gin, 2 oz  Lemon juice, 1 oz  each Lemon juice, simple syrup, 1 lime wheel"
Midnight Express,Rum - Daiquiris,Shake with ice and pour into ice-filled old-fashioned glass.,Old-Fashioned Glass,6 to 8 ounces," Dark rum,  Triple Sec,  Lemon juice,  Lemon juice,  Simple Syrup","1 1/2 oz  Dark rum, 1/2 oz  Triple Sec, 3/4 oz  Lemon juice, 1/4 oz  Lemon juice, 1/4 oz  Simple Syrup"
London Special Cocktail,Cocktail Classics,Put a large twist of orange peel into champagne glass. Add 1 lump sugar and 2 dashes bitters. Fill with well-chilled champagne and stir.,Champagne Flute,6 to 8 ounces,"orange peel, lump sugar, bitters"," orange peel,  lump sugar, 2 dashes  bitters, champagne "
